,fullname,position,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,median,owner,owner.1,owner.2,owner.3,owner.4,owner.5,owner.6,owner.7,owner.8,owner.9,owner.10,owner.11,owner.12
274,Brady Quinn,QB,NA,NA,NA,NA,NA,9,NA,12,NA,NA,NA,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0
275,LeGarrette Blount,RB,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Kai Forbath,PK,NA,NA,NA,NA,NA,8,6,9,12,NA,9,6,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Alex Green,RB,NA,NA,NA,NA,NA,4,12,14,5,NA,3,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
278,D.J. Williams,TE,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Kenny Britt,WR,NA,NA,NA,NA,NA,NA,11,11,NA,13,NA,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Cedric Peerman,RB,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Donnie Avery,WR,NA,NA,NA,NA,NA,NA,12,13,NA,NA,6,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Montario Hardesty,RB,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Josh Gordon,WR,NA,NA,NA,NA,NA,NA,12,12,8,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Randall Cobb,WR,NA,NA,NA,NA,NA,NA,7,13,11,NA,11,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0
285,John Skelton,QB,NA,NA,NA,NA,NA,NA,8,7,10,NA,11,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0
